nohup: ignoring input
timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/01/09 15:17:32.475, 0 %, 1 %, 422 MiB, 39
2026/01/09 15:17:35.477, 0 %, 1 %, 422 MiB, 39
2026/01/09 15:17:38.478, 0 %, 1 %, 417 MiB, 39
2026/01/09 15:17:41.479, 5 %, 2 %, 431 MiB, 39
2026/01/09 15:17:44.480, 0 %, 1 %, 445 MiB, 39
2026/01/09 15:17:47.481, 0 %, 1 %, 434 MiB, 39
2026/01/09 15:17:50.483, 0 %, 1 %, 434 MiB, 39
2026/01/09 15:17:53.484, 0 %, 1 %, 434 MiB, 40
2026/01/09 15:17:56.486, 0 %, 1 %, 434 MiB, 40
2026/01/09 15:17:59.487, 0 %, 5 %, 434 MiB, 39
2026/01/09 15:18:02.488, 0 %, 9 %, 434 MiB, 38
2026/01/09 15:18:05.490, 0 %, 9 %, 434 MiB, 38
2026/01/09 15:18:08.491, 0 %, 9 %, 434 MiB, 38
2026/01/09 15:18:11.493, 0 %, 9 %, 434 MiB, 38
2026/01/09 15:18:14.494, 0 %, 9 %, 434 MiB, 38
2026/01/09 15:18:17.496, 15 %, 16 %, 435 MiB, 38
2026/01/09 15:18:20.497, 0 %, 9 %, 426 MiB, 37
2026/01/09 15:18:23.498, 9 %, 13 %, 435 MiB, 37
2026/01/09 15:18:26.499, 2 %, 10 %, 425 MiB, 37
2026/01/09 15:18:29.500, 0 %, 9 %, 425 MiB, 37
2026/01/09 15:18:32.501, 2 %, 10 %, 425 MiB, 37
2026/01/09 15:18:35.503, 13 %, 5 %, 456 MiB, 38
2026/01/09 15:18:38.504, 0 %, 1 %, 445 MiB, 39
2026/01/09 15:18:41.505, 0 %, 5 %, 445 MiB, 38
2026/01/09 15:18:44.506, 0 %, 9 %, 445 MiB, 38
2026/01/09 15:18:47.507, 0 %, 9 %, 445 MiB, 37
2026/01/09 15:18:50.509, 0 %, 9 %, 445 MiB, 37
2026/01/09 15:18:53.510, 3 %, 10 %, 447 MiB, 37
2026/01/09 15:18:56.512, 0 %, 9 %, 445 MiB, 37
2026/01/09 15:18:59.513, 1 %, 9 %, 447 MiB, 37
2026/01/09 15:19:02.514, 2 %, 10 %, 447 MiB, 37
2026/01/09 15:19:05.516, 0 %, 9 %, 445 MiB, 37
2026/01/09 15:19:08.517, 1 %, 9 %, 447 MiB, 37
2026/01/09 15:19:11.518, 16 %, 6 %, 470 MiB, 38
2026/01/09 15:19:14.518, 2 %, 2 %, 438 MiB, 38
2026/01/09 15:19:17.519, 0 %, 5 %, 435 MiB, 38
2026/01/09 15:19:20.521, 0 %, 9 %, 446 MiB, 37
2026/01/09 15:19:23.522, 0 %, 9 %, 452 MiB, 37
2026/01/09 15:19:26.523, 0 %, 9 %, 456 MiB, 37
2026/01/09 15:19:29.524, 0 %, 9 %, 456 MiB, 37
2026/01/09 15:19:32.526, 8 %, 11 %, 458 MiB, 37
2026/01/09 15:19:35.528, 0 %, 9 %, 450 MiB, 37
2026/01/09 15:19:38.529, 0 %, 9 %, 450 MiB, 37
2026/01/09 15:19:41.531, 7 %, 11 %, 461 MiB, 37
2026/01/09 15:19:44.532, 0 %, 9 %, 462 MiB, 37
2026/01/09 15:19:47.533, 0 %, 9 %, 463 MiB, 37
2026/01/09 15:19:50.534, 0 %, 9 %, 465 MiB, 37
2026/01/09 15:19:53.536, 1 %, 9 %, 465 MiB, 37
2026/01/09 15:19:56.537, 1 %, 9 %, 455 MiB, 37
2026/01/09 15:19:59.538, 0 %, 9 %, 467 MiB, 37
2026/01/09 15:20:02.539, 0 %, 9 %, 468 MiB, 37
2026/01/09 15:20:05.540, 2 %, 2 %, 468 MiB, 38
2026/01/09 15:20:08.541, 0 %, 1 %, 458 MiB, 38
2026/01/09 15:20:11.543, 0 %, 5 %, 469 MiB, 37
2026/01/09 15:20:14.544, 2 %, 9 %, 470 MiB, 37
2026/01/09 15:20:17.545, 7 %, 2 %, 470 MiB, 38
2026/01/09 15:20:20.546, 0 %, 1 %, 458 MiB, 38
2026/01/09 15:20:23.547, 0 %, 1 %, 480 MiB, 39
2026/01/09 15:20:26.549, 0 %, 1 %, 458 MiB, 39
2026/01/09 15:20:29.550, 0 %, 5 %, 458 MiB, 38
2026/01/09 15:20:32.551, 13 %, 11 %, 474 MiB, 38
2026/01/09 15:20:35.552, 1 %, 10 %, 473 MiB, 37
2026/01/09 15:20:38.553, 0 %, 9 %, 473 MiB, 37
2026/01/09 15:20:41.555, 0 %, 9 %, 474 MiB, 37
2026/01/09 15:20:44.556, 0 %, 9 %, 474 MiB, 37
2026/01/09 15:20:47.558, 1 %, 10 %, 473 MiB, 37
2026/01/09 15:20:50.559, 0 %, 9 %, 473 MiB, 37
2026/01/09 15:20:53.560, 0 %, 9 %, 473 MiB, 37
2026/01/09 15:20:56.574, 0 %, 9 %, 473 MiB, 37
2026/01/09 15:20:59.575, 1 %, 10 %, 474 MiB, 37
2026/01/09 15:21:02.576, 2 %, 10 %, 473 MiB, 37
2026/01/09 15:21:05.577, 0 %, 9 %, 473 MiB, 37
2026/01/09 15:21:08.579, 68 %, 10 %, 483 MiB, 37
2026/01/09 15:21:11.580, 0 %, 1 %, 481 MiB, 38
2026/01/09 15:21:14.582, 1 %, 2 %, 478 MiB, 38
2026/01/09 15:21:17.583, 1 %, 2 %, 478 MiB, 39
2026/01/09 15:21:20.585, 2 %, 2 %, 487 MiB, 39
2026/01/09 15:21:23.586, 2 %, 6 %, 488 MiB, 38
2026/01/09 15:21:26.587, 5 %, 11 %, 489 MiB, 37
2026/01/09 15:21:29.588, 27 %, 22 %, 495 MiB, 37
2026/01/09 15:21:32.589, 4 %, 3 %, 508 MiB, 38
2026/01/09 15:21:35.591, 8 %, 6 %, 503 MiB, 39
2026/01/09 15:21:38.597, 6 %, 4 %, 495 MiB, 39
2026/01/09 15:21:41.599, 0 %, 1 %, 485 MiB, 39
2026/01/09 15:21:44.600, 7 %, 5 %, 485 MiB, 39
2026/01/09 15:21:47.601, 0 %, 1 %, 485 MiB, 39
2026/01/09 15:21:50.602, 0 %, 1 %, 485 MiB, 39
2026/01/09 15:21:53.602, 2 %, 2 %, 485 MiB, 40
2026/01/09 15:21:56.603, 1 %, 2 %, 485 MiB, 40
2026/01/09 15:21:59.604, 1 %, 2 %, 485 MiB, 40
2026/01/09 15:22:02.604, 1 %, 2 %, 477 MiB, 40
2026/01/09 15:22:05.605, 1 %, 2 %, 477 MiB, 40
2026/01/09 15:22:08.605, 1 %, 2 %, 477 MiB, 40
2026/01/09 15:22:11.606, 1 %, 2 %, 474 MiB, 40
2026/01/09 15:22:14.607, 11 %, 14 %, 474 MiB, 39
2026/01/09 15:22:17.608, 0 %, 9 %, 474 MiB, 38
2026/01/09 15:22:20.609, 0 %, 9 %, 463 MiB, 38
2026/01/09 15:22:23.609, 11 %, 14 %, 463 MiB, 38
2026/01/09 15:22:26.610, 8 %, 13 %, 463 MiB, 38
2026/01/09 15:22:29.611, 6 %, 12 %, 463 MiB, 38
2026/01/09 15:22:32.612, 0 %, 9 %, 456 MiB, 38
2026/01/09 15:22:35.613, 5 %, 11 %, 458 MiB, 38
2026/01/09 15:22:38.614, 5 %, 11 %, 456 MiB, 38
2026/01/09 15:22:41.616, 5 %, 11 %, 449 MiB, 37
2026/01/09 15:22:44.617, 19 %, 18 %, 450 MiB, 37
2026/01/09 15:22:47.618, 3 %, 11 %, 449 MiB, 37
2026/01/09 15:22:50.620, 0 %, 9 %, 447 MiB, 37
2026/01/09 15:22:53.621, 0 %, 9 %, 447 MiB, 37
2026/01/09 15:22:56.622, 60 %, 12 %, 447 MiB, 38
