Designator,Mid X,Mid Y,Rotation,Layer
RN1,128.44,-103.84,0.0,top
RN2,132.19,-103.84,0.0,top
RN3,132.9025,-126.52,90.0,top
RN4,136.685,-123.54,0.0,top
RN5,177.17,-134.89,0.0,top
RN6,173.41,-134.89,0.0,top
RN7,169.66,-134.89,0.0,top
RN8,165.91,-134.89,0.0,top
SW1,90.62,-56.0,0.0,top
TP7,105.09,-136.67,0.0,top
U1,161.4075,-76.79,270.0,top
U10,176.79,-72.305,270.0,top
U2,121.06,-77.4,90.0,top
U3,130.91,-97.72,90.0,top
U30,95.899999,-107.6475,180.0,top
U4,138.8475,-128.83,270.0,top
U5,114.009999,-86.52,180.0,top
U6,98.69,-78.2775,0.0,top
U7,151.609999,-100.39,0.0,top
U8,151.600001,-93.07,0.0,top
U9,95.769998,-95.01,180.0,top
Y1,123.93,-128.2,0.0,top
